stage	trans
G43	TRINITY_DN113304_c0_g1_i3
G43	TRINITY_DN113310_c0_g1_i1
G43	TRINITY_DN113328_c0_g4_i2
G43	TRINITY_DN113355_c0_g1_i6
G43	TRINITY_DN113361_c2_g3_i1
G43	TRINITY_DN113372_c1_g1_i6
G43	TRINITY_DN113372_c1_g2_i1
G43	TRINITY_DN113388_c1_g1_i11
G43	TRINITY_DN113401_c3_g4_i2
G43	TRINITY_DN113402_c0_g1_i1
G43	TRINITY_DN113407_c0_g1_i1
G43	TRINITY_DN113411_c1_g3_i4
G43	TRINITY_DN113443_c2_g1_i2
G43	TRINITY_DN113443_c2_g2_i1
G43	TRINITY_DN113458_c7_g1_i1
G43	TRINITY_DN113458_c7_g4_i1
G43	TRINITY_DN113459_c0_g1_i1
G43	TRINITY_DN113486_c0_g1_i1
G43	TRINITY_DN113486_c0_g3_i1
G43	TRINITY_DN113516_c0_g1_i1
G43	TRINITY_DN113523_c2_g1_i1
G43	TRINITY_DN113523_c4_g5_i1
G43	TRINITY_DN113540_c0_g1_i4
G43	TRINITY_DN113551_c0_g1_i7
G43	TRINITY_DN113563_c0_g1_i2
G43	TRINITY_DN113602_c0_g1_i3
G43	TRINITY_DN113685_c1_g2_i3
G43	TRINITY_DN113749_c0_g1_i9
G43	TRINITY_DN113751_c1_g2_i5
G43	TRINITY_DN113794_c0_g1_i3
G43	TRINITY_DN113821_c0_g1_i1
G43	TRINITY_DN113852_c0_g1_i2
G43	TRINITY_DN113908_c4_g1_i1
G43	TRINITY_DN113925_c0_g2_i2
G43	TRINITY_DN113933_c1_g1_i4
G43	TRINITY_DN113941_c1_g1_i3
G43	TRINITY_DN113945_c0_g1_i7
G43	TRINITY_DN113975_c1_g1_i4
G43	TRINITY_DN113976_c1_g1_i2
G43	TRINITY_DN113997_c1_g9_i1
G43	TRINITY_DN114011_c6_g2_i1
G43	TRINITY_DN114027_c0_g1_i5
G43	TRINITY_DN114029_c0_g2_i3
G43	TRINITY_DN114033_c0_g1_i3
G43	TRINITY_DN114140_c1_g1_i1
G43	TRINITY_DN114161_c0_g1_i2
G43	TRINITY_DN114161_c1_g1_i3
G43	TRINITY_DN114171_c0_g1_i1
G43	TRINITY_DN114194_c0_g1_i1
G43	TRINITY_DN114207_c0_g1_i3
G43	TRINITY_DN114211_c2_g2_i12
G43	TRINITY_DN114226_c2_g5_i2
G43	TRINITY_DN114281_c0_g2_i2
G43	TRINITY_DN114290_c0_g1_i4
G43	TRINITY_DN114344_c0_g1_i4
G43	TRINITY_DN114366_c0_g1_i4
G43	TRINITY_DN114423_c8_g1_i3
G43	TRINITY_DN114477_c0_g3_i1
G43	TRINITY_DN114521_c0_g2_i2
G43	TRINITY_DN114526_c2_g1_i10
G43	TRINITY_DN114528_c1_g2_i5
G43	TRINITY_DN114561_c0_g3_i1
G43	TRINITY_DN114589_c0_g1_i1
G43	TRINITY_DN114662_c0_g1_i6
G43	TRINITY_DN114682_c0_g1_i1
G43	TRINITY_DN114683_c5_g2_i6
G43	TRINITY_DN114708_c3_g1_i1
G43	TRINITY_DN114770_c0_g1_i1
G43	TRINITY_DN114782_c4_g1_i4
G43	TRINITY_DN114782_c4_g2_i1
G43	TRINITY_DN11483_c0_g1_i1
G43	TRINITY_DN114939_c3_g1_i3
G43	TRINITY_DN114947_c1_g3_i3
G43	TRINITY_DN115102_c0_g2_i2
G43	TRINITY_DN115112_c0_g4_i2
G43	TRINITY_DN115151_c0_g3_i6
G43	TRINITY_DN115189_c5_g1_i1
G43	TRINITY_DN115191_c12_g1_i1
G43	TRINITY_DN115216_c0_g1_i10
G43	TRINITY_DN115223_c5_g1_i1
G43	TRINITY_DN115223_c5_g2_i2
G43	TRINITY_DN115230_c7_g1_i3
G43	TRINITY_DN115230_c7_g2_i1
G43	TRINITY_DN115230_c7_g3_i2
G43	TRINITY_DN115270_c0_g1_i4
G43	TRINITY_DN115360_c1_g5_i2
G43	TRINITY_DN115410_c0_g1_i2
G43	TRINITY_DN115490_c0_g1_i1
G43	TRINITY_DN115567_c0_g1_i1
G43	TRINITY_DN115598_c0_g5_i1
G43	TRINITY_DN115734_c9_g2_i3
G43	TRINITY_DN115736_c0_g1_i5
G43	TRINITY_DN115770_c8_g1_i1
G43	TRINITY_DN115783_c8_g5_i1
G43	TRINITY_DN115808_c3_g1_i1
G43	TRINITY_DN115878_c2_g1_i7
G43	TRINITY_DN115878_c2_g2_i14
G43	TRINITY_DN115903_c0_g1_i3
G43	TRINITY_DN115905_c5_g3_i1
G43	TRINITY_DN115920_c1_g1_i2
G43	TRINITY_DN116080_c2_g2_i2
G43	TRINITY_DN116148_c0_g1_i2
G43	TRINITY_DN116151_c3_g2_i1
G43	TRINITY_DN116158_c3_g1_i1
G43	TRINITY_DN116207_c0_g1_i3
G43	TRINITY_DN116291_c1_g3_i1
G43	TRINITY_DN116332_c0_g3_i2
G43	TRINITY_DN116349_c0_g1_i3
G43	TRINITY_DN116358_c0_g1_i1
G43	TRINITY_DN116372_c1_g2_i1
G43	TRINITY_DN116402_c4_g1_i1
G43	TRINITY_DN116600_c0_g1_i1
G43	TRINITY_DN116691_c5_g2_i1
G43	TRINITY_DN116773_c0_g1_i2
G43	TRINITY_DN116782_c8_g1_i2
G43	TRINITY_DN116791_c2_g3_i1
G43	TRINITY_DN116896_c9_g1_i1
G43	TRINITY_DN116974_c3_g1_i7
G43	TRINITY_DN117014_c4_g3_i5
G43	TRINITY_DN117026_c5_g1_i8
G43	TRINITY_DN117087_c2_g1_i1
G43	TRINITY_DN117161_c5_g10_i1
G43	TRINITY_DN117161_c5_g3_i1
G43	TRINITY_DN117211_c1_g1_i2
G43	TRINITY_DN117255_c2_g2_i4
G43	TRINITY_DN117333_c1_g1_i6
G43	TRINITY_DN117361_c2_g2_i2
G43	TRINITY_DN117361_c2_g3_i2
G43	TRINITY_DN117431_c0_g1_i1
G43	TRINITY_DN117491_c0_g1_i1
G43	TRINITY_DN117565_c0_g1_i3
G43	TRINITY_DN117625_c4_g1_i7
G43	TRINITY_DN117690_c0_g1_i3
G43	TRINITY_DN117707_c0_g1_i5
G43	TRINITY_DN117811_c9_g6_i3
G43	TRINITY_DN117817_c3_g1_i3
G43	TRINITY_DN117825_c0_g1_i1
G43	TRINITY_DN117825_c0_g3_i2
G43	TRINITY_DN117865_c8_g1_i6
G43	TRINITY_DN117902_c0_g2_i1
G43	TRINITY_DN117918_c8_g1_i1
G43	TRINITY_DN117929_c4_g2_i1
G43	TRINITY_DN117960_c8_g1_i1
G43	TRINITY_DN117998_c4_g3_i2
G43	TRINITY_DN118083_c5_g2_i7
G43	TRINITY_DN118200_c5_g3_i4
G43	TRINITY_DN118201_c0_g1_i7
G43	TRINITY_DN118239_c0_g1_i1
G43	TRINITY_DN118262_c4_g2_i2
G43	TRINITY_DN118402_c1_g3_i2
G43	TRINITY_DN118441_c5_g1_i3
G43	TRINITY_DN118470_c4_g1_i3
G43	TRINITY_DN118471_c3_g1_i1
G43	TRINITY_DN118481_c0_g1_i11
G43	TRINITY_DN118696_c6_g1_i7
G43	TRINITY_DN118711_c4_g3_i3
G43	TRINITY_DN118965_c1_g3_i2
G43	TRINITY_DN118967_c0_g1_i1
G43	TRINITY_DN118968_c0_g3_i2
G43	TRINITY_DN118968_c0_g5_i2
G43	TRINITY_DN118968_c0_g6_i1
G43	TRINITY_DN119077_c1_g1_i3
G43	TRINITY_DN119087_c2_g1_i1
G43	TRINITY_DN119122_c3_g1_i5
G43	TRINITY_DN119160_c1_g2_i1
G43	TRINITY_DN119200_c2_g1_i6
G43	TRINITY_DN119301_c1_g1_i3
G43	TRINITY_DN119556_c4_g1_i2
G43	TRINITY_DN119556_c4_g2_i1
G43	TRINITY_DN119667_c1_g2_i2
G43	TRINITY_DN119770_c3_g1_i8
G43	TRINITY_DN119880_c5_g1_i3
G43	TRINITY_DN119884_c13_g1_i2
G43	TRINITY_DN119928_c1_g1_i1
G43	TRINITY_DN120095_c0_g1_i2
G43	TRINITY_DN120140_c8_g6_i1
G43	TRINITY_DN120297_c1_g3_i4
G43	TRINITY_DN120328_c8_g1_i1
G43	TRINITY_DN120359_c0_g1_i3
G43	TRINITY_DN120507_c0_g3_i2
G43	TRINITY_DN120532_c0_g1_i13
G43	TRINITY_DN12064_c0_g1_i1
G43	TRINITY_DN120792_c5_g1_i4
G43	TRINITY_DN120921_c1_g1_i2
G43	TRINITY_DN120923_c7_g2_i3
G43	TRINITY_DN121023_c5_g6_i1
G43	TRINITY_DN121179_c5_g3_i8
G43	TRINITY_DN121315_c12_g1_i2
G43	TRINITY_DN121339_c4_g5_i1
G43	TRINITY_DN121461_c0_g1_i4
G43	TRINITY_DN121531_c5_g1_i1
G43	TRINITY_DN121580_c0_g1_i3
G43	TRINITY_DN121611_c2_g1_i4
G43	TRINITY_DN121624_c3_g1_i7
G43	TRINITY_DN121632_c0_g1_i2
G43	TRINITY_DN121642_c0_g1_i1
G43	TRINITY_DN121671_c1_g4_i2
G43	TRINITY_DN121690_c0_g1_i4
G43	TRINITY_DN121907_c1_g2_i2
G43	TRINITY_DN121934_c4_g4_i2
G43	TRINITY_DN121946_c3_g1_i1
G43	TRINITY_DN121971_c2_g1_i1
G43	TRINITY_DN121971_c2_g2_i1
G43	TRINITY_DN121975_c3_g2_i2
G43	TRINITY_DN122088_c2_g2_i1
G43	TRINITY_DN122090_c5_g1_i9
G43	TRINITY_DN122143_c3_g1_i4
G43	TRINITY_DN122193_c0_g3_i3
G43	TRINITY_DN122357_c5_g2_i7
G43	TRINITY_DN122518_c2_g1_i2
G43	TRINITY_DN122603_c2_g3_i8
G43	TRINITY_DN122628_c4_g2_i2
G43	TRINITY_DN122650_c2_g1_i2
G43	TRINITY_DN122676_c5_g3_i1
G43	TRINITY_DN122706_c2_g1_i1
G43	TRINITY_DN122777_c2_g1_i6
G43	TRINITY_DN122883_c2_g5_i1
G43	TRINITY_DN122929_c1_g1_i1
G43	TRINITY_DN123140_c8_g2_i3
G43	TRINITY_DN123188_c6_g4_i1
G43	TRINITY_DN123244_c3_g1_i1
G43	TRINITY_DN12326_c0_g2_i1
G43	TRINITY_DN123423_c0_g1_i10
G43	TRINITY_DN123480_c8_g2_i3
G43	TRINITY_DN123483_c0_g1_i19
G43	TRINITY_DN123677_c6_g1_i2
G43	TRINITY_DN123756_c3_g1_i1
G43	TRINITY_DN123780_c3_g1_i1
G43	TRINITY_DN123780_c3_g2_i2
G43	TRINITY_DN123786_c1_g1_i12
G43	TRINITY_DN123790_c1_g1_i1
G43	TRINITY_DN123905_c0_g1_i4
G43	TRINITY_DN123905_c0_g4_i1
G43	TRINITY_DN124102_c1_g3_i1
G43	TRINITY_DN124109_c3_g2_i6
G43	TRINITY_DN124192_c1_g3_i2
G43	TRINITY_DN124206_c1_g1_i1
G43	TRINITY_DN124219_c1_g1_i5
G43	TRINITY_DN124332_c4_g1_i2
G43	TRINITY_DN124332_c4_g3_i1
G43	TRINITY_DN124336_c5_g1_i3
G43	TRINITY_DN124434_c0_g1_i3
G43	TRINITY_DN124492_c11_g1_i7
G43	TRINITY_DN124645_c0_g1_i1
G43	TRINITY_DN124645_c0_g2_i3
G43	TRINITY_DN124809_c0_g1_i1
G43	TRINITY_DN124844_c0_g1_i1
G43	TRINITY_DN124934_c2_g3_i1
G43	TRINITY_DN125038_c0_g1_i2
G43	TRINITY_DN125038_c0_g2_i3
G43	TRINITY_DN125059_c2_g1_i1
